DLC01WithAmmoInfiltrator [LVLI:0800A67B]
DLC02LvlWeap10mmPistolNPCWithAmmo [LVLI:07008438]
DLC02LvlWeap10mmPistolSilencedNPCWithAmmo [LVLI:07008439]
DLC02LvlWeap10mmSubmachineGunNPCWithAmmo [LVLI:0700843A]
DLC02LvlWeapAssaultRifleNPCWithAmmo [LVLI:0700843B]
DLC02LvlWeapChineseAssaultRifleNPCWithAmmo [LVLI:0700843C]
DLC02LvlWeapChinesePistolNPCWithAmmo [LVLI:0700843D]
DLC02LvlWeapFlamerNPCWithAmmo [LVLI:0700843E]
DLC02LvlWeapMiniGunNPCWithAmmo [LVLI:0700843F]
DLC02LvlWeapMissileLauncherNPCWithAmmo [LVLI:07008440]
DLC02LvlWeapShotgunCombatNPCWithAmmo [LVLI:0700C7C4]
DLC02LvlWeapSniperRifleNPCWithAmmo [LVLI:07008441]
DLC02WeapLaserRifleNPCWithAmmo [LVLI:0700CBFB]
DLC03WithAmmoTeslaCannonBoS [LVLI:0900108B]
DLC04WithAmmoHuntingRifleNonPlayable [LVLI:0A012657]
DLC04WithAmmoWeapRifle [LVLI:0A00D7AD]
DLC04WithAmmoWeapShotgun [LVLI:0A00D7AE]
DLC05WithAmmoAlienRifle [LVLI:0B0058DF]
DLC05WithAmmoAtomizer [LVLI:0B0058E0]
LeveledWithAmmoHuntingSniperRifleNPC [LVLI:0017B7DA]
LeveledWithAmmoNV9mm10mmSubmachineGunNPC [LVLI:0017B7DB]
NVDLC01WithAmmoAutoRifleLoot [LVLI:10009124]
NVDLC01WithAmmoAutoRifleNPC [LVLI:100091BB]
NVDLC01WithAmmoPolicePistolLoot [LVLI:10009126]
NVDLC01WithAmmoPolicePistolNPC [LVLI:100091B9]
NVDLC01WithAmmoPolicePistolRaider [LVLI:100091F3]
NVDLC02WithAmmo45AutoPistolLoot [LVLI:0200B415]
NVDLC02WithAmmo45AutoPistolLoot25 [LVLI:02010296]
NVDLC02WithAmmo45AutoPistolLoot50 [LVLI:02010297]
NVDLC02WithAmmo45AutoPistolLoot75 [LVLI:02010298]
NVDLC02WithAmmo45AutoPistolNPC [LVLI:100091AE]
NVDLC02WithAmmo45AutoPistolRaider [LVLI:100091F6]
NVDLC02WithAmmo45AutoPistolTalon [LVLI:10009263]
NVDLC02WithAmmo45AutoSubmachineGunLoot [LVLI:0200F1BE]
NVDLC02WithAmmo45AutoSubmachineGunLoot50 [LVLI:020117C5]
NVDLC02WithAmmo45AutoSubmachineGunNPC [LVLI:100091B0]
NVDLC02WithAmmo45AutoSubmachineGunRaider [LVLI:100091F1]
NVDLC02WithAmmo45AutoSubmachineGunSuperMutant [LVLI:100091EF]
NVDLC03WithAmmoLAERBoS [LVLI:10009174]
NVDLC03WithAmmoLAERLoot [LVLI:1000AD2E]
NVDLC03WithAmmoLAERNPC [LVLI:100091D6]
NVDLC03WithAmmoLaserRifleNPC [LVLI:03012D1E]
NVDLC04WithAmmoArcWelder [LVLI:04008D6C]
NVDLC04WithAmmoFlareGun [LVLI:04008D69]
NVDLC04WithAmmoRedGlare [LVLI:0400E00C]
NVDLC04WithAmmoSMMG [LVLI:04008D6D]
NVDLC04WithAmmoSMMGSpecial [LVLI:0400DBE3]
NVDLC05WithAmmo25mmGrenadeAPWLoot [LVLI:10009146]
NVDLC05WithAmmo25mmGrenadeAPWNPC [LVLI:100091B2]
